Percentile,Decilepoints,GrossIncome,VAT,Tobacco,Beer,Wine,Hydrocarbons,CustomsGoods,Betting,Insurance,Lottery,AirTravel,TvLicence,Carbon
5,10833,8595,5295,356,461,285,543,680,207,280,275,1,1,4.88
15,14681,14114,6160,364,433,208,561,760,487,260,408,1,1,5.68
25,18359,18600,7655,378,553,283,789,880,320,350,500,1,1,7.06
35,22460,23299,9365,604,589,393,1023,1000,353,470,500,2,1,8.64
45,27095,28808,11865,545,865,498,1261,1160,353,540,567,2,1,10.94
55,32097,35162,13660,700,830,580,1368,1320,387,620,542,3,1,12.6
65,38846,43048,15740,670,993,596,1663,1480,460,710,500,3,1,14.51
75,47433,53119,19470,469,1262,799,1851,1680,633,820,675,4,1,17.95
85,62010,68152,21230,385,1198,740,1905,1880,513,950,583,6,1,19.58
95,,117370,32265,502,1581,1130,2325,2680,440,1270,617,9,1,29.75
