Hide table,,,,,,,,,,,,,,
Year,Other,Jobseekers allowance,Child benefit,Housing benefit,Tax credits,Incapacity benefits,Disability benefits,Pension credit,State pension,Total,Statista figures for GDP (£Bn),GDP (£bn),https://www.ons.gov.uk/economy/grossdomesticproductgdp/timeseries/ihyp/pn2,
1999-00,1.6%,0.3%,0.8%,1.1%,0.3%,1.1%,0.8%,0.4%,3.6%,10.0%,1089.131,1462.818,,1000
2000-01,1.6%,0.3%,0.8%,1.0%,0.4%,1.1%,0.8%,0.4%,3.5%,9.9%,1126.463,1500.034,,
2001-02,1.6%,0.2%,0.8%,1.0%,0.5%,1.1%,0.9%,0.4%,3.7%,10.2%,1179.882,1536.903,https://www.statista.com/statistics/281744/gdp-of-the-united-kingdom-uk-since-2000/,
2002-03,1.5%,0.2%,0.8%,1.1%,0.6%,1.1%,0.9%,0.4%,3.7%,10.3%,1248.517,1588.019,,
2003-04,1.5%,0.2%,0.7%,1.0%,1.1%,1.0%,0.9%,0.4%,3.7%,10.5%,1310.091,1625.567,,
2004-05,1.5%,0.2%,0.7%,1.0%,1.2%,0.9%,0.9%,0.5%,3.7%,10.6%,1386.386,1675.896,,
2005-06,1.4%,0.2%,0.7%,1.0%,1.2%,0.9%,0.9%,0.5%,3.6%,10.4%,1463.435,1717.055,,
2006-07,1.3%,0.2%,0.7%,1.0%,1.3%,0.8%,0.9%,0.5%,3.6%,10.3%,1536.565,1757.521,,
2007-08,1.3%,0.1%,0.7%,1.0%,1.3%,0.8%,0.9%,0.5%,3.7%,10.3%,1572.467,1749.216,,
2008-09,1.4%,0.2%,0.7%,1.1%,1.5%,0.8%,1.0%,0.5%,4.0%,11.2%,1529.536,1675.963,,
2009-10,1.5%,0.3%,0.8%,1.3%,1.8%,0.9%,1.1%,0.5%,4.3%,12.5%,1579.877,1704.364,,
2010-11,1.4%,0.3%,0.8%,1.3%,1.8%,0.8%,1.1%,0.5%,4.4%,12.4%,1635.062,1729.121,,
