PP,Income,Category
1,9710,BTI
2,10000,BTI
3,10300,BTI
4,10600,BTI
5,10800,BTI
6,11000,BTI
7,11200,BTI
8,11400,BTI
9,11600,BTI
10,11800,BTI
11,12000,BTI
12,12200,BTI
13,12400,BTI
14,12600,BTI
15,12800,BTI
16,13000,BTI
17,13200,BTI
18,13400,BTI
19,13600,BTI
20,13900,BTI
21,14100,BTI
22,14300,BTI
23,14500,BTI
24,14800,BTI
25,15000,BTI
26,15200,BTI
27,15500,BTI
28,15700,BTI
29,15900,BTI
30,16200,BTI
31,16400,BTI
32,16700,BTI
33,16900,BTI
34,17200,BTI
35,17400,BTI
36,17700,BTI
37,18000,BTI
38,18200,BTI
39,18500,BTI
40,18800,BTI
41,19100,BTI
42,19300,BTI
43,19600,BTI
44,19900,BTI
45,20200,BTI
46,20600,BTI
47,20900,BTI
48,21200,BTI
49,21500,BTI
50,21900,BTI
51,22200,BTI
52,22500,BTI
53,22900,BTI
54,23200,BTI
55,23600,BTI
56,24000,BTI
57,24400,BTI
58,24800,BTI
59,25200,BTI
60,25600,BTI
61,26100,BTI
62,26500,BTI
63,27000,BTI
64,27500,BTI
65,27900,BTI
66,28400,BTI
67,29000,BTI
68,29500,BTI
69,30000,BTI
70,30600,BTI
71,31200,BTI
72,31900,BTI
73,32500,BTI
74,33200,BTI
75,33900,BTI
76,34600,BTI
77,35300,BTI
78,36100,BTI
79,37000,BTI
80,37900,BTI
81,38800,BTI
82,39800,BTI
83,40700,BTI
84,41500,BTI
85,42500,BTI
86,43800,BTI
87,45200,BTI
88,46700,BTI
89,48500,BTI
90,50600,BTI
91,53100,BTI
92,56000,BTI
93,59700,BTI
94,64400,BTI
95,70400,BTI
96,78800,BTI
97,91300,BTI
98,110000,BTI
99,159000,BTI
1,9660,ATI
2,9900,ATI
3,10100,ATI
4,10400,ATI
5,10600,ATI
6,10800,ATI
7,10900,ATI
8,11100,ATI
9,11300,ATI
10,11400,ATI
11,11600,ATI
12,11700,ATI
13,11900,ATI
14,12100,ATI
15,12200,ATI
16,12400,ATI
17,12600,ATI
18,12700,ATI
19,12900,ATI
20,13100,ATI
21,13300,ATI
22,13400,ATI
23,13600,ATI
24,13800,ATI
25,14000,ATI
26,14200,ATI
27,14400,ATI
28,14600,ATI
29,14800,ATI
30,14900,ATI
31,15200,ATI
32,15300,ATI
33,15500,ATI
34,15700,ATI
35,16000,ATI
36,16200,ATI
37,16400,ATI
38,16600,ATI
39,16800,ATI
40,17000,ATI
41,17300,ATI
42,17500,ATI
43,17700,ATI
44,18000,ATI
45,18200,ATI
46,18500,ATI
47,18700,ATI
48,19000,ATI
49,19300,ATI
50,19500,ATI
51,19800,ATI
52,20100,ATI
53,20400,ATI
54,20600,ATI
55,20900,ATI
56,21300,ATI
57,21600,ATI
58,21900,ATI
59,22200,ATI
60,22600,ATI
61,22900,ATI
62,23300,ATI
63,23700,ATI
64,24100,ATI
65,24400,ATI
66,24800,ATI
67,25300,ATI
68,25700,ATI
69,26200,ATI
70,26600,ATI
71,27100,ATI
72,27600,ATI
73,28200,ATI
74,28700,ATI
75,29300,ATI
76,29900,ATI
77,30500,ATI
78,31100,ATI
79,31900,ATI
80,32600,ATI
81,33400,ATI
82,34200,ATI
83,35000,ATI
84,35800,ATI
85,36600,ATI
86,37500,ATI
87,38200,ATI
88,39200,ATI
89,40300,ATI
90,41500,ATI
91,43100,ATI
92,45000,ATI
93,47300,ATI
94,50200,ATI
95,54000,ATI
96,59300,ATI
97,67300,ATI
98,77800,ATI
99,107000,ATI
,,User
