Year,cab
1955 Q1,-28
1955 Q2,-20
1955 Q3,-17
1955 Q4,-47
1956 Q1,26
1956 Q2,66
1956 Q3,66
1956 Q4,87
1957 Q1,27
1957 Q2,58
1957 Q3,75
1957 Q4,108
1958 Q1,130
1958 Q2,53
1958 Q3,119
1958 Q4,70
1959 Q1,32
1959 Q2,71
1959 Q3,74
1959 Q4,9
1960 Q1,-16
1960 Q2,-83
1960 Q3,-73
1960 Q4,-46
1961 Q1,6
1961 Q2,-25
1961 Q3,64
1961 Q4,25
1962 Q1,47
1962 Q2,64
1962 Q3,35
1962 Q4,34
1963 Q1,80
1963 Q2,39
1963 Q3,35
1963 Q4,-4
1964 Q1,-63
1964 Q2,-53
1964 Q3,-107
1964 Q4,-127
1965 Q1,12
1965 Q2,-21
1965 Q3,-33
1965 Q4,-16
1966 Q1,-37
1966 Q2,0
1966 Q3,0
1966 Q4,165
1967 Q1,54
1967 Q2,-48
1967 Q3,-32
1967 Q4,-267
1968 Q1,-112
1968 Q2,-87
1968 Q3,-29
1968 Q4,-65
1969 Q1,31
1969 Q2,98
1969 Q3,166
1969 Q4,126
1970 Q1,307
1970 Q2,147
1970 Q3,79
1970 Q4,210
1971 Q1,200
1971 Q2,257
1971 Q3,342
1971 Q4,240
1972 Q1,116
1972 Q2,132
1972 Q3,-168
1972 Q4,-30
1973 Q1,-249
1973 Q2,-128
1973 Q3,-371
1973 Q4,-455
1974 Q1,-768
1974 Q2,-918
1974 Q3,-864
1974 Q4,-899
1975 Q1,-486
1975 Q2,-371
1975 Q3,-742
1975 Q4,-230
1976 Q1,104
1976 Q2,-353
1976 Q3,-504
1976 Q4,-369
1977 Q1,-419
1977 Q2,-439
1977 Q3,183
1977 Q4,220
1978 Q1,-163
1978 Q2,414
1978 Q3,44
1978 Q4,349
1979 Q1,-707
1979 Q2,-180
1979 Q3,100
1979 Q4,-403
1980 Q1,-322
1980 Q2,-469
1980 Q3,799
1980 Q4,1527
1981 Q1,2693
1981 Q2,1455
1981 Q3,-133
1981 Q4,579
1982 Q1,902
1982 Q2,-136
1982 Q3,153
1982 Q4,1049
1983 Q1,1044
1983 Q2,-546
1983 Q3,659
1983 Q4,-174
1984 Q1,771
1984 Q2,-1203
1984 Q3,-1043
1984 Q4,-146
1985 Q1,-1180
1985 Q2,311
1985 Q3,125
1985 Q4,-164
1986 Q1,283
1986 Q2,-1036
1986 Q3,-1937
1986 Q4,-1275
1987 Q1,-141
1987 Q2,-1749
1987 Q3,-2122
1987 Q4,-3551
1988 Q1,-4064
1988 Q2,-4184
1988 Q3,-4316
1988 Q4,-6817
1989 Q1,-5764
1989 Q2,-6409
1989 Q3,-7017
1989 Q4,-5518
1990 Q1,-6366
1990 Q2,-6338
1990 Q3,-3754
1990 Q4,-3860
1991 Q1,-2938
1991 Q2,-1689
1991 Q3,-2506
1991 Q4,-1846
1992 Q1,-2130
1992 Q2,-2838
1992 Q3,-3137
1992 Q4,-2711
1993 Q1,-2236
1993 Q2,-3080
1993 Q3,-2382
1993 Q4,-2096
1994 Q1,-968
1994 Q2,-1714
1994 Q3,-320
1994 Q4,-595
1995 Q1,781
1995 Q2,-2834
1995 Q3,-2393
1995 Q4,-1006
1996 Q1,-1419
1996 Q2,-1054
1996 Q3,-1346
1996 Q4,-1062
1997 Q1,456
1997 Q2,-238
1997 Q3,-226
1997 Q4,-1479
1998 Q1,-2062
1998 Q2,-2602
1998 Q3,1018
1998 Q4,-191
1999 Q1,-6004
1999 Q2,-5359
1999 Q3,-7357
1999 Q4,-5634
2000 Q1,-5254
2000 Q2,-6451
2000 Q3,-4611
2000 Q4,-6659
2001 Q1,-4439
2001 Q2,-6004
2001 Q3,-5658
2001 Q4,-5493
2002 Q1,-4941
2002 Q2,-8439
2002 Q3,-5201
2002 Q4,-4663
2003 Q1,-3450
2003 Q2,-5715
2003 Q3,-6999
2003 Q4,-4159
2004 Q1,-5829
2004 Q2,-5386
2004 Q3,-8938
2004 Q4,-2714
2005 Q1,-4738
2005 Q2,-658
2005 Q3,-5704
2005 Q4,-5520
2006 Q1,-7122
2006 Q2,-3955
2006 Q3,-9260
2006 Q4,-11960
2007 Q1,-9439
2007 Q2,-5281
2007 Q3,-11561
2007 Q4,-10997
2008 Q1,-11770
2008 Q2,-13423
2008 Q3,-12262
2008 Q4,-17735
2009 Q1,-16090
2009 Q2,-14737
2009 Q3,-5322
2009 Q4,-9028
2010 Q1,-9186
2010 Q2,-7926
2010 Q3,-12880
2010 Q4,-13522
2011 Q1,-4464
2011 Q2,-586
2011 Q3,-11512
2011 Q4,-10838
2012 Q1,-10084
2012 Q2,-13941
2012 Q3,-12865
2012 Q4,-17808
2013 Q1,-17718
2013 Q2,-13587
2013 Q3,-20193
2013 Q4,-26410
2014 Q1,-20013
2014 Q2,-18645
2014 Q3,-25337
2014 Q4,-28474
2015 Q1,-24487
2015 Q2,-18967
2015 Q3,-20111
2015 Q4,-32662
