Year,Price,Region
Q1 1974,7743,North
Q1 1974,9629,Yorks & Humber
Q1 1974,8146,North West
Q1 1974,8845,East Midlands
Q1 1974,9647,West Midlands
Q1 1974,10008,East Anglia
Q1 1974,11007,Outer South East
Q1 1974,12882,Outer Met
Q1 1974,12973,London
Q1 1974,9917,South West
Q1 1974,9254,Wales
Q1 1974,9083,Scotland
Q1 1974,8397,Northern Ireland
Q1 1974,9928,UK
Q1 1975,8151,North
Q1 1975,10301,Yorks & Humber
Q1 1975,8504,North West
Q1 1975,8960,East Midlands
Q1 1975,10104,West Midlands
Q1 1975,10494,East Anglia
Q1 1975,11133,Outer South East
Q1 1975,13278,Outer Met
Q1 1975,13443,London
Q1 1975,10738,South West
Q1 1975,9878,Wales
Q1 1975,9949,Scotland
Q1 1975,9307,Northern Ireland
Q1 1975,10388,UK
Q1 1976,9524,North
Q1 1976,11734,Yorks & Humber
Q1 1976,9298,North West
Q1 1976,9843,East Midlands
Q1 1976,9975,West Midlands
Q1 1976,11092,East Anglia
Q1 1976,12026,Outer South East
Q1 1976,14700,Outer Met
Q1 1976,14685,London
Q1 1976,11461,South West
Q1 1976,11008,Wales
Q1 1976,12365,Scotland
Q1 1976,12068,Northern Ireland
Q1 1976,11519,UK
Q1 1977,10728,North
Q1 1977,12805,Yorks & Humber
Q1 1977,10306,North West
Q1 1977,10550,East Midlands
Q1 1977,11755,West Midlands
Q1 1977,11679,East Anglia
Q1 1977,12628,Outer South East
Q1 1977,15629,Outer Met
Q1 1977,15593,London
Q1 1977,12155,South West
Q1 1977,11826,Wales
Q1 1977,13674,Scotland
Q1 1977,14322,Northern Ireland
Q1 1977,12409,UK
Q1 1978,11893,North
Q1 1978,14337,Yorks & Humber
Q1 1978,11710,North West
Q1 1978,11673,East Midlands
Q1 1978,13158,West Midlands
Q1 1978,13067,East Anglia
Q1 1978,14054,Outer South East
Q1 1978,17288,Outer Met
Q1 1978,17315,London
Q1 1978,13396,South West
Q1 1978,12956,Wales
Q1 1978,15074,Scotland
Q1 1978,16659,Northern Ireland
Q1 1978,13820,UK
Q1 1979,14252,North
Q1 1979,17115,Yorks & Humber
Q1 1979,14906,North West
Q1 1979,14448,East Midlands
Q1 1979,16758,West Midlands
Q1 1979,16511,East Anglia
Q1 1979,18675,Outer South East
Q1 1979,23404,Outer Met
Q1 1979,23493,London
Q1 1979,17470,South West
Q1 1979,16485,Wales
Q1 1979,18085,Scotland
Q1 1979,20692,Northern Ireland
Q1 1979,17793,UK
Q1 1980,17675,North
Q1 1980,21599,Yorks & Humber
Q1 1980,18751,North West
Q1 1980,18574,East Midlands
Q1 1980,20984,West Midlands
Q1 1980,22578,East Anglia
Q1 1980,24780,Outer South East
Q1 1980,29934,Outer Met
Q1 1980,30047,London
Q1 1980,22717,South West
Q1 1980,20768,Wales
Q1 1980,21508,Scotland
Q1 1980,24766,Northern Ireland
Q1 1980,22677,UK
Q1 1981,18362,North
Q1 1981,23742,Yorks & Humber
Q1 1981,19982,North West
Q1 1981,20456,East Midlands
Q1 1981,21840,West Midlands
Q1 1981,24159,East Anglia
Q1 1981,25614,Outer South East
