Year,cab
1946,-153
1947,-311
1948,83
1949,35
1950,338
1951,-330
1952,229
1953,204
1954,160
1955,-112
1956,245
1957,268
1958,372
1959,186
1960,-218
1961,70
1962,180
1963,150
1964,-350
1965,-58
1966,128
1967,-293
1968,-293
1969,421
1970,743
1971,1039
1972,50
1973,-1203
1974,-3449
1975,-1829
1976,-1122
1977,-455
1978,644
1979,-1190
1980,1535
1981,4594
1982,1968
1983,983
1984,-1621
1985,-908
1986,-3965
1987,-7563
1988,-19381
1989,-24708
1990,-20318
1991,-8979
1992,-10816
1993,-9794
1994,-3597
1995,-5452
1996,-4881
1997,-1487
1998,-3837
1999,-24354
2000,-22975
2001,-21594
2002,-23244
2003,-20323
2004,-22867
2005,-16620
2006,-32297
2007,-37278
2008,-55190
2009,-45177
2010,-43514
2011,-27400
2012,-54698
2013,-77908
2014,-92469
2015,-96227
