Type,Cat1,Cat2,Cat3
GrossIncome,GrossIncome,GrossIncome,GrossIncome
IncTax,IT,DirectTax,Tax
EmployeeNI,NI,DirectTax,Tax
EmployerNI,NI,DirectTax,Tax
VAT,VAT,IndirectTax,Tax
Tobacco,Sin,IndirectTax,Tax
Beer,Sin,IndirectTax,Tax
Wine,Sin,IndirectTax,Tax
Hydrocarbons,Fuel,IndirectTax,Tax
CustomsGoods,Other,IndirectTax,Tax
Betting,Sin,IndirectTax,Tax
Insurance,Sin,IndirectTax,Tax
Lottery,Sin,IndirectTax,Tax
AirTravel,Fuel,IndirectTax,Tax
TvLicence,Other,IndirectTax,Tax
Carbon,Fuel,IndirectTax,Tax
Property,Property,PropertyTax,Tax
CitDiv,Benefit,Benefit,Benefit
PostTaxIncome,PostTaxIncome,PostTaxIncome,PostTaxIncome
